,Date,Name,Nationality,Cause of death,mountain,Year,Month,Range
639,2001-07-20 00:00:00,Jean-François Bassine,Belgium,fall,Gasherbrum-2,2001,7,Karakorum
640,2001-07-22 00:00:00,Park Young-do,South Korea,fall,K-2,2001,7,Karakorum
641,2001-09-09 00:00:00,Su-ya Kim,South Korea,altitude,Cho Oyu,2001,9,Himalaya
642,2001-10-11 00:00:00,Jose Antonio Garces,Spain,fall,Dhaulagiri,2001,10,Himalaya
643,2001-10-13 00:00:00,Isao Kuribara,Nepal,altitude,Manaslu,2001,10,Himalaya
644,2001-10-14 00:00:00,Yukihiko Shinagawa,Japan,disappeared,Dhaulagiri,2001,10,Himalaya
645,2001-10-14 00:00:00,Masashi Fukumoto,Japan,disappeared,Dhaulagiri,2001,10,Himalaya
646,2001-10-14 00:00:00,Ryushi Hoshino,Japan,disappeared,Dhaulagiri,2001,10,Himalaya
647,2001-10-17 00:00:00,Sándor Gárdos,Hungary,fall,Everest,2001,10,Himalaya
648,2002-04-25 00:00:00,Raymond Caughron,United States,exhaustion,Makalu,2002,4,Himalaya
649,2002-04-30 00:00:00,Chhong Ringee,Nepal,unknown,Cho Oyu,2002,4,Himalaya
650,2002-04-30 00:00:00,Peter Legate,United Kingdom,fall,Everest,2002,4,Himalaya
651,2002-05-19 00:00:00,Zoran Miletić,FR Yugoslavia,unknown,Everest,2002,5,Himalaya
652,2002-05-24 00:00:00,Christopher Grasswick,Canada,fall,Kangchenjunga,2002,5,Himalaya
653,2002-07-13 00:00:00,Sher Ajman,Pakistan,avalanche,K-2,2002,7,Karakorum
654,2002-07-22 00:00:00,Muhammad Iqbal,Pakistan,fall,K-2,2002,7,Karakorum
655,2002-09-08 00:00:00,Marco Siffredi,France,others,Everest,2002,9,Himalaya
656,2003-05-08 00:00:00,Arnaud Saulnier,France,others,Everest,2003,5,Himalaya
657,2003-05-16 00:00:00,Guenter Welkisch,Germany,altitude,Cho Oyu,2003,5,Himalaya
658,2003-05-24 00:00:00,Karma Gyalzen Sherpa,Nepal,altitude,Everest,2003,5,Himalaya
